model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
timm--vit_large_patch32_384.orig_in21k_ft_in1k,306632680,ImageNet-21k (14M),vit,transformer,ViT,[],22.253333333333334,38.906666666666666,81.512,90.37532731802106,7500,2240,467,5831,1773,22.189079621628185,46.8733373375228,48.34956758909163,21.431098341987553,45.51210285507476,47.89449206182317,0,0,162,59,0,374,1178
timm--vit_large_r50_s32_224.augreg_in21k_ft_in1k,328994856,ImageNet-21k (14M),vit,transformer,ViT,[],23.773333333333333,41.64,84.422,92.98051538159167,7500,2240,470,5717,1770,23.448789827790943,49.57085741897114,51.071775416518285,22.026340769727188,47.530329879870486,49.96805720095849,0,0,161,56,0,401,1152
timm--vit_large_r50_s32_384.augreg_in21k_ft_in1k,329092136,ImageNet-21k (14M),vit,transformer,ViT,[],40.946666666666665,61.50666666666667,86.176,94.91384978755374,7500,2240,757,4429,1483,39.0605045359517,62.76321762162079,64.02492392379501,35.91145269314738,59.24820708698989,61.27763454207936,0,0,161,50,0,376,896
timm--vit_relpos_base_patch16_224.sw_in1k,86429560,ImageNet-1k (1.2M),vit,transformer,ViT,[],13.466666666666667,27.333333333333332,82.49600000000001,91.32847033513475,7500,2240,241,6490,1999,13.074184067863609,36.971283279682424,38.20235130315684,11.355767021572232,34.72514946751933,36.67811309902796,0,0,139,47,0,381,1432
timm--vit_relpos_base_patch16_clsgap_224.sw_in1k,86430328,ImageNet-1k (1.2M),vit,transformer,ViT,[],14.893333333333333,29.68,82.762,91.66879185872642,7500,2240,276,6383,1964,14.332442477501727,37.764096035952825,39.225794891180335,12.746091930384395,34.74584232315105,37.16052940609561,0,0,132,52,0,367,1413
timm--vit_relpos_base_patch32_plus_rpn_256.sw_in1k,119423760,ImageNet-1k (1.2M),vit,transformer,ViT,[],6.413333333333333,15.213333333333333,79.484,88.08675809355786,7500,2240,121,7019,2119,6.563902897067527,28.316372389117074,29.225443702235847,5.482318644611616,27.067813772369842,28.337165933270953,0,0,125,35,0,366,1593
timm--vit_relpos_medium_patch16_224.sw_in1k,38747208,ImageNet-1k (1.2M),vit,transformer,ViT,[],13.666666666666666,28.76,82.46,91.4029937825336,7500,2240,234,6475,2006,13.012592158875094,37.433419829463666,38.79990474099086,11.16829439090498,35.22383127367023,37.431858023930104,0,0,146,51,0,383,1426
timm--vit_relpos_medium_patch16_cls_224.sw_in1k,38764616,ImageNet-1k (1.2M),vit,transformer,ViT,[],15.013333333333334,29.226666666666667,82.56400000000001,91.56514734233804,7500,2240,261,6374,1979,14.282780022988689,38.162714211678676,39.62019095769895,12.325799389075565,34.64675790271333,36.928417200198815,0,0,133,53,0,362,1431
timm--vit_relpos_medium_patch16_rpn_224.sw_in1k,38734920,ImageNet-1k (1.2M),vit,transformer,ViT,[],12.626666666666667,25.466666666666665,82.308,91.2864400090797,7500,2240,207,6553,2033,11.515706237285748,35.6732069735907,36.88068491627792,9.74132394496431,32.57518595279464,34.57166671201706,0,0,133,46,0,384,1470
timm--vit_relpos_small_patch16_224.sw_in1k,21983920,ImageNet-1k (1.2M),vit,transformer,ViT,[],11.293333333333333,23.906666666666666,81.462,90.40626212324008,7500,2240,182,6653,2058,10.670621732601301,33.58612820186991,34.791554376788255,8.979115755767264,30.991865205349566,32.946924801029844,0,0,134,43,0,350,1531
