model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
timm--fbnetv3_g.ra2_in1k,16623888,ImageNet-1k (1.2M),fbnet,cnn,EfficientNet,[],81.242,81.242,90.2923060767066,18692,10184,8166,2877,2018,90.2923060767066,95.67183688172885,96.33195654105135,86.45671103125912,93.65035503446664,94.77820014447008,75,748,382,103,8,164,538,68,47,35
timm--flexivit_base.1200ep_in1k,86589160,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],84.66799999999999,84.66799999999999,93.45688900324004,18692,10184,8527,2267,1657,93.45688900324004,97.31579267739515,97.83422424840408,90.41750855101115,95.54568823242569,96.32836058433064,70,736,309,78,10,114,340,68,47,35
timm--flexivit_base.300ep_in1k,86589160,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],84.402,84.402,93.29207009579721,18692,10184,8514,2302,1670,93.29207009579721,97.22727426125675,97.75870720825468,89.94561557041065,95.23744817943853,96.32144369218679,70,730,324,83,9,105,349,68,47,33
timm--flexivit_base.600ep_in1k,86589160,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],84.52,84.52,93.42547998956705,18692,10184,8524,2274,1660,93.42547998956705,97.29424244056628,97.8362068633124,90.18111626050757,95.43989637611028,96.27669445467333,73,731,319,86,10,107,334,68,47,34
timm--flexivit_large.1200ep_in1k,304355304,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],85.646,85.646,94.70421342761158,18692,10184,8693,2051,1491,94.70421342761158,97.92329194970854,98.37124546377271,92.38689819521524,96.74493440009188,97.55732388513886,78,746,248,64,8,96,251,68,47,34
timm--flexivit_large.300ep_in1k,304355304,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],85.288,85.288,94.36311064967059,18692,10184,8641,2123,1543,94.36311064967059,97.86997764962959,98.29775112744174,92.03953342371327,96.66133553623887,97.57121882650026,77,749,272,68,7,103,267,68,47,33
timm--flexivit_large.600ep_in1k,304355304,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],85.544,85.544,94.59609279867048,18692,10184,8680,2075,1504,94.59609279867048,97.98938199098824,98.42277400231364,92.41312193290435,96.74373808823371,97.56545082012329,79,741,262,65,8,103,246,68,47,33
timm--flexivit_small.1200ep_in1k,22061416,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],82.53200000000001,82.53200000000001,91.27534906055462,18692,10184,8269,2685,1915,91.27534906055462,96.0424840806771,96.59472065816911,87.77276917256552,94.07207612345574,95.12391580828576,75,754,382,82,7,117,498,68,47,34
timm--flexivit_small.300ep_in1k,22061416,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],82.174,82.174,91.04968370939383,18692,10184,8249,2724,1935,91.04968370939383,95.7891093826198,96.34984282444455,87.60016364051381,93.79179226068473,94.75832024581698,73,758,372,86,7,103,536,68,47,36
timm--flexivit_small.600ep_in1k,22061416,ImageNet-1k (1.2M),flexivit,transformer,ViT,[],82.35,82.35,91.2193567204213,18692,10184,8247,2716,1937,91.2193567204213,95.93158666368073,96.4748472945187,87.9186140688315,94.01924135932074,95.04923060356968,74,771,381,80,7,107,517,68,47,36
